topic,primary_subject,question_count,years_seen,year_list,recurrence,recent_count,years_since_last,due_for_return,importance_score,priority_band
Lysosomal Storage Disorders,Biochemistry,20,8,"2010,2012,2014,2015,2019,2022,2024,2025",0.5,7,0,False,73.5,Must
Refractive errors,Ophthalmology,23,8,"2012,2013,2014,2015,2016,2018,2020,2024",0.5,2,1,True,73.4,Must
Leprosy,Dermatology,22,8,"2011,2012,2013,2014,2016,2019,2021,2024",0.5,2,1,True,73.4,Must
HIV,Medicine,20,9,"2011,2014,2015,2018,2019,2020,2022,2024,2025",0.562,3,0,False,73.4,Must
Local Anaesthetics,Pharmacology,28,8,"2011,2012,2013,2014,2015,2016,2019,2024",0.5,2,1,True,73.2,Must
Muscle Physiology,Physiology,27,8,"2012,2013,2014,2015,2016,2018,2020,2024",0.5,2,1,True,73.2,Must
Schizophrenia & Psychosis,Psychiatry,52,8,"2011,2012,2013,2014,2015,2016,2023,2024",0.5,3,1,True,73.1,Must
Inhalational Anaesthetics,Anaesthesia,25,7,"2011,2012,2013,2014,2015,2016,2019",0.438,0,6,True,73.1,Must
Amino acid metabolism,Biochemistry,22,7,"2010,2012,2013,2014,2015,2017,2019",0.438,0,6,True,73.1,Must
Pancreas,Anatomy,22,7,"2010,2012,2013,2015,2018,2020,2021",0.438,0,4,True,73.1,Must
Anxiety & OCD,Psychiatry,23,8,"2013,2014,2015,2016,2017,2018,2019,2024",0.5,1,1,True,72.9,Must
Orbit,Ophthalmology,34,8,"2012,2013,2014,2015,2016,2018,2021,2024",0.5,1,1,True,72.8,Must
Diabetes Mellitus,Medicine,19,9,"2013,2014,2015,2017,2019,2020,2022,2024,2025",0.562,5,0,False,72.8,Must
Postmortem Changes,Forensic Medicine,19,9,"2012,2013,2014,2016,2017,2018,2019,2024,2025",0.562,5,0,False,72.8,Must
Adverse drug reactions,Pharmacology,28,9,"2011,2012,2013,2014,2015,2019,2020,2022,2025",0.562,2,0,False,72.6,Must
Postpartum Hemorrhage,OBG,18,10,"2011,2012,2013,2014,2016,2019,2020,2021,2022,2024",0.625,2,1,True,72.5,Must
Shock,Physiology,19,8,"2011,2012,2013,2015,2016,2017,2018,2019",0.5,0,6,True,72.1,Must
Public Health Programs,Community Medicine,22,8,"2010,2014,2016,2019,2020,2021,2024,2025",0.5,3,0,False,71.4,Must
Nerve Muscle,Physiology,19,8,"2013,2014,2018,2019,2022,2023,2024,2025",0.5,5,0,False,70.9,Must
Sexual Offences,Forensic Medicine,20,8,"2012,2013,2014,2015,2016,2019,2024,2025",0.5,2,0,False,70.8,Must
Histopathology,Pathology,18,9,"2011,2012,2013,2014,2016,2017,2018,2019,2020",0.562,0,5,True,70.8,Must
Screening,Community Medicine,28,8,"2010,2011,2012,2013,2014,2015,2020,2025",0.5,1,0,False,70.4,Must
Disaster Management,Community Medicine,27,7,"2013,2015,2019,2020,2021,2022,2024",0.438,5,1,False,70.0,Must
Coagulation,Biochemistry,17,10,"2010,2011,2012,2013,2014,2016,2017,2018,2022,2024",0.625,2,1,True,69.7,High
Surgical Oncology,Surgery,18,9,"2010,2013,2014,2015,2018,2019,2020,2024,2025",0.562,4,0,False,69.5,High
Abdominal Imaging,Radiology,16,10,"2010,2013,2015,2016,2017,2018,2019,2020,2021,2024",0.625,3,1,True,68.9,High
Antimicrobial Drugs,Pharmacology,18,10,"2010,2011,2012,2013,2016,2017,2018,2019,2020,2025",0.625,1,0,False,68.8,High
Uterine Anomalies,OBG,20,7,"2013,2016,2017,2018,2020,2021,2024",0.438,1,1,False,68.6,High
Protein Structure,Biochemistry,18,7,"2013,2014,2015,2016,2018,2019,2020",0.438,0,5,True,68.1,High
Autoimmune Diseases,Medicine,16,10,"2011,2013,2014,2015,2016,2017,2018,2019,2020,2022",0.625,0,3,True,68.0,High
